,.Sex,.Age,.Educ,.Race,.CD,.freq,cfreq.pct,cpercent.pct
1,1,1,1,1,1,18556,536069,0.034614947
2,1,1,2,1,1,11177,536069,0.020849928
3,1,1,3,1,1,1785,536069,0.003329795
4,1,2,1,2,1,13457,536069,0.025103112
5,1,2,2,2,1,9103,536069,0.016981023
6,1,2,3,2,1,7436,536069,0.013871349
7,1,3,1,2,1,12490,536069,0.023299239
8,1,3,2,2,1,9250,536069,0.017255241
9,1,3,3,2,1,7184,536069,0.01340126
10,1,4,1,2,1,28768,536069,0.053664733
11,1,4,2,2,1,17672,536069,0.032965906
12,1,4,3,2,1,15879,536069,0.029621187
13,1,5,1,2,1,15551,536069,0.029009325
14,1,5,2,2,1,8118,536069,0.015143573
15,1,5,3,2,1,11095,536069,0.020696963
16,1,2,1,3,1,7945,536069,0.014820853
17,1,2,2,3,1,3865,536069,0.007209893
18,1,2,3,3,1,1314,536069,0.002451177
19,1,3,1,3,1,7374,536069,0.013755692
20,1,3,2,3,1,3928,536069,0.007327415
21,1,3,3,3,1,1270,536069,0.002369098
22,1,4,1,3,1,16986,536069,0.031686219
23,1,4,2,3,1,7505,536069,0.014000063
24,1,4,3,3,1,2807,536069,0.005236266
25,1,5,1,3,1,9182,536069,0.017128392
26,1,5,2,3,1,3448,536069,0.006432008
27,1,5,3,3,1,1961,536069,0.003658111
28,0,1,1,1,1,15167,536069,0.028293
29,0,1,2,1,1,13683,536069,0.025524699
30,0,1,3,1,1,2665,536069,0.004971375
31,0,2,1,2,1,9962,536069,0.018583429
32,0,2,2,2,1,11460,536069,0.021377845
33,0,2,3,2,1,9523,536069,0.017764504
34,0,3,1,2,1,9496,536069,0.017714138
35,0,3,2,2,1,10605,536069,0.019782901
36,0,3,3,2,1,9757,536069,0.018201015
37,0,4,1,2,1,26931,536069,0.050237936
38,0,4,2,2,1,21775,536069,0.040619771
39,0,4,3,2,1,17501,536069,0.032646917
40,0,5,1,2,1,23408,536069,0.043666021
41,0,5,2,2,1,9947,536069,0.018555447
42,0,5,3,2,1,8667,536069,0.016167695
43,0,2,1,3,1,5417,536069,0.010105042
44,0,2,2,3,1,5721,536069,0.010672134
45,0,2,3,3,1,3271,536069,0.006101826
46,0,3,1,3,1,5163,536069,0.009631223
47,0,3,2,3,1,5294,536069,0.009875594
48,0,3,3,3,1,3352,536069,0.006252926
49,0,4,1,3,1,14643,536069,0.027315513
50,0,4,2,3,1,10871,536069,0.020279106
51,0,4,3,3,1,6012,536069,0.011214974
52,0,5,1,3,1,12728,536069,0.023743212
53,0,5,2,3,1,4966,536069,0.009263733
54,0,5,3,3,1,2978,536069,0.005555255
55,1,1,1,1,2,18908,525595,0.035974467
56,1,1,2,1,2,13182,525595,0.025080147
57,1,1,3,1,2,1689,525595,0.003213501
58,1,2,1,2,2,13154,525595,0.025026874
59,1,2,2,2,2,9851,525595,0.018742568
60,1,2,3,2,2,6678,525595,0.0127056
61,1,3,1,2,2,12627,525595,0.024024201
62,1,3,2,2,2,8338,525595,0.015863926
63,1,3,3,2,2,6791,525595,0.012920595
64,1,4,1,2,2,25856,525595,0.049193771
65,1,4,2,2,2,16323,525595,0.031056232
66,1,4,3,2,2,14128,525595,0.026880012
67,1,5,1,2,2,14157,525595,0.026935188
68,1,5,2,2,2,7496,525595,0.014261932
69,1,5,3,2,2,8735,525595,0.01661926
70,1,2,1,3,2,8981,525595,0.017087301
71,1,2,2,3,2,4447,525595,0.008460887
72,1,2,3,3,2,1840,525595,0.003500794
73,1,3,1,3,2,8621,525595,0.016402363
74,1,3,2,3,2,3764,525595,0.007161408
75,1,3,3,3,2,1871,525595,0.003559775
76,1,4,1,3,2,17652,525595,0.033584794
77,1,4,2,3,2,7369,525595,0.014020301
78,1,4,3,3,2,3892,525595,0.007404941
79,1,5,1,3,2,9666,525595,0.018390586
80,1,5,2,3,2,3384,525595,0.006438417
81,1,5,3,3,2,2406,525595,0.004577669
82,0,1,1,1,2,13911,525595,0.026467147
83,0,1,2,1,2,14615,525595,0.027806581
84,0,1,3,1,2,2871,525595,0.005462381
85,0,2,1,2,2,10430,525595,0.019844177
86,0,2,2,2,2,11057,525595,0.02103711
87,0,2,3,2,2,8297,525595,0.015785919
88,0,3,1,2,2,10386,525595,0.019760462
89,0,3,2,2,2,10084,525595,0.019185875
90,0,3,3,2,2,8172,525595,0.015548093
91,0,4,1,2,2,25727,525595,0.048948335
92,0,4,2,2,2,19312,525595,0.03674312
93,0,4,3,2,2,13977,525595,0.026592719
94,0,5,1,2,2,23390,525595,0.044501945
95,0,5,2,2,2,9054,525595,0.017226191
96,0,5,3,2,2,5856,525595,0.011141659
97,0,2,1,3,2,6269,525595,0.011927435
98,0,2,2,3,2,6006,525595,0.011427049
99,0,2,3,3,2,4051,525595,0.007707455
100,0,3,1,3,2,6243,525595,0.011877967
101,0,3,2,3,2,5478,525595,0.010422474
102,0,3,3,3,2,3990,525595,0.007591396
103,0,4,1,3,2,15463,525595,0.029419991
104,0,4,2,3,2,10491,525595,0.019960236
105,0,4,3,3,2,6823,525595,0.012981478
106,0,5,1,3,2,14059,525595,0.026748732
107,0,5,2,3,2,4919,525595,0.009358917
108,0,5,3,3,2,2858,525595,0.005437647
109,1,1,1,1,3,18308,544463,0.033625793
110,1,1,2,1,3,19506,544463,0.035826126
111,1,1,3,1,3,2479,544463,0.00455311
112,1,2,1,2,3,13629,544463,0.025032004
113,1,2,2,2,3,10992,544463,0.0201887
114,1,2,3,2,3,6911,544463,0.012693241
115,1,3,1,2,3,13664,544463,0.025096288
116,1,3,2,2,3,9481,544463,0.017413488
117,1,3,3,2,3,7763,544463,0.014258085
118,1,4,1,2,3,31027,544463,0.056986425
119,1,4,2,2,3,18862,544463,0.034643309
120,1,4,3,2,3,13384,544463,0.024582019
121,1,5,1,2,3,16152,544463,0.029665928
122,1,5,2,2,3,8544,544463,0.015692526
123,1,5,3,2,3,7981,544463,0.01465848
124,1,2,1,3,3,6902,544463,0.012676711
125,1,2,2,3,3,3719,544463,0.006830584
126,1,2,3,3,3,1794,544463,0.00329499
127,1,3,1,3,3,6919,544463,0.012707934
128,1,3,2,3,3,3207,544463,0.005890207
129,1,3,3,3,3,2016,544463,0.003702731
130,1,4,1,3,3,15711,544463,0.028855955
131,1,4,2,3,3,6381,544463,0.011719805
132,1,4,3,3,3,3476,544463,0.006384272
133,1,5,1,3,3,8179,544463,0.015022141
134,1,5,2,3,3,2890,544463,0.005307982
135,1,5,3,3,3,2073,544463,0.003807421
136,0,1,1,1,3,14674,544463,0.026951326
137,0,1,2,1,3,20863,544463,0.03831849
138,0,1,3,1,3,3664,544463,0.006729567
139,0,2,1,2,3,11046,544463,0.02028788
140,0,2,2,2,3,12418,544463,0.022807794
141,0,2,3,2,3,8305,544463,0.015253562
142,0,3,1,2,3,11145,544463,0.020469711
143,0,3,2,2,3,11534,544463,0.021184176
144,0,3,3,2,3,8575,544463,0.015749463
145,0,4,1,2,3,30688,544463,0.056363793
146,0,4,2,2,3,21693,544463,0.039842928
147,0,4,3,2,3,14131,544463,0.025954013
148,0,5,1,2,3,26879,544463,0.049367909
149,0,5,2,2,3,8747,544463,0.016065371
150,0,5,3,2,3,5775,544463,0.010606781
151,0,2,1,3,3,4726,544463,0.008680112
152,0,2,2,3,3,5026,544463,0.009231114
153,0,2,3,3,3,3665,544463,0.006731403
154,0,3,1,3,3,4769,544463,0.008759089
155,0,3,2,3,3,4668,544463,0.008573585
156,0,3,3,3,3,3785,544463,0.006951804
157,0,4,1,3,3,13130,544463,0.024115505
158,0,4,2,3,3,8780,544463,0.016125981
159,0,4,3,3,3,6237,544463,0.011455324
160,0,5,1,3,3,11501,544463,0.021123566
161,0,5,2,3,3,3540,544463,0.006501819
162,0,5,3,3,3,2549,544463,0.004681677
163,1,1,1,1,4,16666,527357,0.03160288
164,1,1,2,1,4,11624,527357,0.022041994
165,1,1,3,1,4,1045,527357,0.00198158
166,1,2,1,2,4,18535,527357,0.035146969
167,1,2,2,2,4,11208,527357,0.021253155
168,1,2,3,2,4,5629,527357,0.010673984
169,1,3,1,2,4,19324,527357,0.036643109
170,1,3,2,2,4,11501,527357,0.021808756
171,1,3,3,2,4,5907,527357,0.011201141
172,1,4,1,2,4,43675,527357,0.08281866
173,1,4,2,2,4,22101,527357,0.041908991
174,1,4,3,2,4,12706,527357,0.024093735
175,1,5,1,2,4,25477,527357,0.048310727
176,1,5,2,2,4,10426,527357,0.019770288
177,1,5,3,2,4,8362,527357,0.015856431
178,1,2,1,3,4,3460,527357,0.00656102
179,1,2,2,3,4,1590,527357,0.003015035
180,1,2,3,3,4,485,527357,0.000919681
181,1,3,1,3,4,3607,527357,0.006839769
182,1,3,2,3,4,1632,527357,0.003094678
183,1,3,3,3,4,508,527357,0.000963294
184,1,4,1,3,4,8153,527357,0.015460115
185,1,4,2,3,4,3136,527357,0.005946636
186,1,4,3,3,4,1094,527357,0.002074496
187,1,5,1,3,4,4756,527357,0.009018559
188,1,5,2,3,4,1479,527357,0.002804552
189,1,5,3,3,4,720,527357,0.001365299
190,0,1,1,1,4,13073,527357,0.024789659
191,0,1,2,1,4,13144,527357,0.024924292
192,0,1,3,1,4,1857,527357,0.003521334
193,0,2,1,2,4,14062,527357,0.026665049
194,0,2,2,2,4,14068,527357,0.026676426
195,0,2,3,2,4,7490,527357,0.014202902
196,0,3,1,2,4,15193,527357,0.028809706
197,0,3,2,2,4,14532,527357,0.027556285
198,0,3,3,2,4,8132,527357,0.015420294
199,0,4,1,2,4,39444,527357,0.074795632
200,0,4,2,2,4,28355,527357,0.053768131
201,0,4,3,2,4,14765,527357,0.027998111
202,0,5,1,2,4,37871,527357,0.071812833
203,0,5,2,2,4,12308,527357,0.023339028
204,0,5,3,2,4,6658,527357,0.012625224
205,0,2,1,3,4,2544,527357,0.004824057
206,0,2,2,3,4,1661,527357,0.003149669
207,0,2,3,3,4,837,527357,0.00158716
208,0,3,1,3,4,2749,527357,0.005212788
209,0,3,2,3,4,1716,527357,0.003253963
210,0,3,3,3,4,909,527357,0.00172369
211,0,4,1,3,4,7136,527357,0.01353163
212,0,4,2,3,4,3347,527357,0.006346744
213,0,4,3,3,4,1651,527357,0.003130707
214,0,5,1,3,4,6852,527357,0.012993096
215,0,5,2,3,4,1453,527357,0.002755249
216,0,5,3,3,4,744,527357,0.001410809
217,1,1,1,1,5,16346,546889,0.029889063
218,1,1,2,1,5,15054,546889,0.02752661
219,1,1,3,1,5,1991,546889,0.003640593
220,1,2,1,2,5,14192,546889,0.025950421
221,1,2,2,2,5,10923,546889,0.019972974
222,1,2,3,2,5,10147,546889,0.018554039
223,1,3,1,2,5,12528,546889,0.022907756
